"","words","term.freq","doc.freq"
"7426","foolish",1,1
"7427","blind",3,3
"7428","offence",6,6
"7429","hiding",1,1
"7430","u.c",1,1
"7431","company.on",1,1
"7432","accused",5,3
"7433","disclousure",1,1
"7434","bya",1,1
"7435","m'gillis",1,1
"7436","macdonald",3,3
"7437","m'laughlin",1,1
"7438","accessories",2,1
"7439","severlight",1,1
"7440","accessory",2,1
"7441","fact.it",1,1
"7442","evidence",24,12
"7443","century",4,4
"7444","resorting",3,3
"7445","disturbance",3,3
"7446","enlisting",1,1
"7447","dried",3,3
"7448","flesh",10,10
"7449","producing",7,6
"7450","dissention",1,1
"7451","stations",2,2
"7452","rival",1,1
"7453","divisions",4,4
"7454","undisturbed",1,1
"7455","traders.the",1,1
"7456","macdonnell",5,1
"7457","soi-disant",1,1
"7458","ossinibour",1,1
"7459","prohibiting",2,2
"7460","document",6,6
"7461","trials",5,4
"7462","depots",1,1
"7463","blockaded",2,2
"7464","batteries",1,1
"7465","interdicted",1,1
"7466","ensuring",1,1
"7467","people.mutual",1,1
"7468","exasperated",2,2
"7469","suspicious",1,1
"7470","loch",1,1
"7471","affray",2,1
"7472","investigated",3,2
"7473","bouche",1,1
"7474","acquittal",1,1
"7475","shows",6,6
"7476","assailants",2,1
"7477","robertson",4,4
"7478","forks",1,1
"7479","materials",12,12
"7480","floated",2,2
"7481","rafts",1,1
"7482","constructing",1,1
"7483","predecessors",2,2
"7484","plete",1,1
"7485","blockage",1,1
"7486","intercept",1,1
"7487","riviere",1,1
"7488","qui",1,1
"7489","appele",1,1
"7490","breeds",4,2
"7491","semple's",4,1
"7492","canoes",19,11
"7493","apprise",1,1
"7494","blockages",1,1
"7495","concert",2,2
"7496","eluding",1,1
"7497","cuthbert",1,1
"7498","breed",3,3
"7499","clerk",9,5
"7500","swamp",2,2
"7501","deserted",13,13
"7502","conflict",5,4
"7503","killed.it",1,1
"7504","replace",1,1
"7505","replenish",1,1
"7506","rescue",1,1
"7507","intercepted",1,1
"7508","blockading",1,1
"7509","cannonmen",1,1
"7510","molesting",1,1
"7511","attacked.–they",1,1
"7512","self",3,3
"7513","defended",3,3
"7514","subpoenas",3,2
"7515","sevewright",1,1
"7516","accessaries",1,1
"7517","unsuccessful",2,2
"7518","blame",2,2
"7519","murderers–the",1,1
"7520","presided",10,10
"7521","scintilla",1,1
"7522","accordinagly",1,1
"7523","guilty.it",1,1
"7524","recollected",4,4
"7525","murder–and",1,1
"7526","lordship's",3,2
"7527","accusations",1,1
"7528","palliate",1,1
"7529","atrocious",1,1
"7530","recovered",5,5
"7531","re-established",1,1
"7532","uncertainty",1,1
"7533","contradictory",1,1
"7534","affidavits",1,1
"7535","public.the",2,2
"7536","figuring",1,1
"7537","seizing",1,1
"7538","books",3,3
"7539","reform",5,3
"7540","canadait",1,1
"7541","delegates",1,1
"7542","pursuance",2,2
"7543","recommendation",3,3
"7544","imperial",1,1
"7545","designing",1,1
"7546","organize",1,1
"7547","discontent.the",1,1
"7548","reofrming",1,1
"7549","suspension",2,2
"7550","corpus",1,1
"7551","maitland's",1,1
"7552","servility",1,1
"7553","control",7,6
"7554","disseminated",1,1
"7555","anlibel",1,1
"7556","ears",1,1
"7557","provoke",1,1
"7558","mental",1,1
"7559","illegal",1,1
"7560","legitimate",2,2
"7561","decision",5,4
"7562","purge",1,1
"7563","mal-administration",1,1
"7564","paper:–interesting",1,1
"7565","brotherly",2,1
"7566","union.it",1,1
"7567","spartan",1,1
"7568","sanctioned",12,12
"7569","apostolical",1,1
"7570","usage",1,1
"7571","enjoying",3,3
"7572","priate",1,1
"7573","engendered",1,1
"7574","imperfect",3,3
"7575","felicityto",1,1
"7576","surveyedhusbandmen",1,1
"7577","artisans",7,6
"7578","invited",3,3
"7579","fellowship",1,1
"7580","faith.want",1,1
"7581","excluding",3,3
"7582","colonist",1,1
"7583","fundamental",1,1
"7584","refunded",1,1
"7585","assignees",1,1
"7586","demand.the",1,1
"7587","bounds",3,2
"7588","government.all",1,1
"7589","specify",1,1
"7590","propery",1,1
"7591","c.no",1,1
"7592","superscription",1,1
"7593","union.'s",1,1
"7594","applicants",4,4
"7595","convene",1,1
"7596","code",3,3
"7597","establishment.s",1,1
"7598","blythst",1,1
"7599","contant",1,1
"7600","paers",1,1
"7601","insertion",4,3
"7602","bono",1,1
"7603","publico",1,1
"7604","coffeehouse",3,3
"7605","grassie",1,1
"7606","unaminously–that",1,1
"7607","petitioned",1,1
"7608","halifax.–that",1,1
"7609","funds.–that",1,1
"7610","notes",14,6
"7611","bank.–that",1,1
"7612","classification",2,2
"7613","vote.–that",1,1
"7614","presetned",1,1
"7615","doubloun",1,1
"7616","sovereigh",1,1
"7617","adjourned.york",1,1
"7618","tex",1,1
"7619","othersa",1,1
"7620","indictment",3,2
"7621","impoverish",2,2
"7622","partnes",1,1
"7623","lorimer",1,1
"7624","pratais",1,1
"7625","d'orsonnens",1,1
"7626","meuron",1,1
"7627","matthey",2,1
"7628","fauche",1,1
"7629","graffenrad",1,1
"7630","vichie",1,1
"7631","macdonnel",1,1
"7632","fecibles",1,1
"7633","bridport",1,1
"7634","beecher",1,1
"7635","doctor",4,4
"7636","macpherson",1,1
"7637","chatelain",1,1
"7638","m'nab",1,1
"7639","bourke.the",1,1
"7640","counts",1,1
"7641","overt",1,1
"7642","documentary",1,1
"7643","oral",1,1
"7644","prominent",4,4
"7645","armind",1,1
"7646","entry",2,2
"7647","retaining",1,1
"7648","rid",5,4
"7649","outfits",1,1
"7650","felony",3,1
"7651","examination",5,5
"7652","duress",1,1
"7653","tampering",3,2
"7654","debauching",1,1
"7655","company's",8,8
"7656","advising",2,2
"7657","alleging",2,2
"7658","pluie",1,1
"7659","c.upon",1,1
"7660","arraigned",3,3
"7661","day.wm",1,1
"7662","selkirkthis",1,1
"7663","imprisonment.it",1,1
"7664","plaintiff",2,1
"7665","writ",3,2
"7666","doors",6,5
"7667","custody",1,1
"7668","dwelt",3,3
"7669","reinhard",1,1
"7670","accusation",1,1
"7671","school",6,3
"7672","nominally",2,2
"7673","surveillance",1,1
"7674","comrades",1,1
"7675","option",2,2
"7676","molest",1,1
"7677","deliberation",2,2
"7678","currency.after",1,1
"7679","narrating",1,1
"7680","parages",1,1
"7681","journal",6,6
"7682","catastrophe",3,3
"7683","tatham",3,1
"7684","engineering.–who",1,1
"7685","residing",6,6
"7686","addicted–was",1,1
"7687","breathe",1,1
"7688","intemperance",2,2
"7689","exclaimed",2,2
"7690","conolonel",1,1
"7691","front",6,6
"7692","muzzle",1,1
"7693","abdomen",1,1
"7694","literally",3,3
"7695","uttering",1,1
"7696","byestanders",1,1
"7697","strip",2,2
"7698","attractions",1,1
"7699","horroer",1,1
"7700","commiseraton",1,1
"7701","genius",4,4
"7702","resource",3,3
"7703","leedsapril",1,1
"7704","assemblage",4,3
"7705","croppers",1,1
"7706","cloth-dressers",1,1
"7707","kep",1,1
"7708","wortley",1,1
"7709","armley",1,1
"7710","holbeck",1,1
"7711","briggate",1,1
"7712","sticks",1,1
"7713","peaceable",3,3
"7714","loud",6,6
"7715","mayor",5,4
"7716","diness",1,1
"7717","slightest",3,3
"7718","perplexing",1,1
"7719","augment",2,2
"7720","manufactories.chesterapril",1,1
"7721","bagguely",1,1
"7722","convicted",2,2
"7723","sedition",1,1
"7724","adrdress",1,1
"7725","chief-justice",1,1
"7726","copley",1,1
"7727","sentenced",5,5
"7728","imprisonment",4,4
"7729","behaviour",2,2
"7730","each.we",1,1
"7731","monmouthshire",1,1
"7732","diminishes",1,1
"7733","scarcer",1,1
"7734","them.amongst",1,1
"7735","thistlewaith",1,1
"7736","meadow",1,1
"7737","leeds",3,3
"7738","woollen",1,1
"7739","conjunction",2,2
"7740","dewsbury",1,1
"7741","overburdened",1,1
"7742","pecuniary",5,5
"7743","nation–their",1,1
"7744","industry–articles",1,1
"7745","country.the",3,3
"7746","impost",1,1
"7747","levied",3,2
"7748","authors",1,1
"7749","publishers",1,1
"7750","copyright",1,1
"7751","copies",1,1
"7752","libraries",1,1
"7753","repealed",1,1
"7754","committe",2,2
"7755","display",4,3
"7756","country.saturday",1,1
"7757","allsop",1,1
"7758","camelford.yesterday",1,1
"7759","corrupt",2,2
"7760","perjury",1,1
"7761","behalf",4,4
"7762","petitioner",1,1
"7763","examined",7,5
"7764","election",12,7
"7765","penrhyn.extraordinary",1,1
"7766","legacy.–a",1,1
"7767","legacy",4,3
"7768","poundsbequeathed",1,1
"7769","berlin",2,2
"7770","foreigner",1,1
"7771","disputed",1,1
"7772","heir-at-law",1,1
"7773","immoral",1,1
"7774","novelty",1,1
"7775","pleadings",2,2
"7776","classical",2,2
"7777","learning",3,3
"7778","lords.–morn",1,1
"7779","chron.town",1,1
"7780","southwark.–thomas",1,1
"7781","wing",3,2
"7782","reeve",2,1
"7783","marshalman",2,1
"7784","earner",1,1
"7785","suspicion",2,2
"7786","robbing",1,1
"7787","employers",5,5
"7788","sentance",1,1
"7789","flint",1,1
"7790","grocers",1,1
"7791","high-street.the",1,1
"7792","prisoner's",1,1
"7793","detection",2,2
"7794","prosecutors",2,2
"7795","dog",2,1
"7796","handkerchief",1,1
"7797","stables",1,1
"7798","restless",3,3
"7799","pulling",2,2
"7800","skirt",1,1
"7801","heydon",1,1
"7802","apprentice",2,1
"7803","stable",3,3
"7804","heap",1,1
"7805","rubbish",1,1
"7806","scratch",1,1
"7807","booty",1,1
"7808","marking",2,2
"7809","searching",1,1
"7810","ballpence",1,1
"7811","pocket.–remanded",1,1
"7812","committee.–the",1,1
"7813","journals",7,4
"7814","wek",1,1
"7815","asserted",4,4
"7816","intend",6,5
"7817","ricardo's",3,1
"7818","bars",6,2
"7819","buy",6,5
"7820","demanded",20,12
"7821","d.if",1,1
"7822","correct",10,7
"7823","bullion",1,1
"7824","metallic",3,2
"7825","panic",3,2
"7826","cramp",1,1
"7827","upthe",1,1
"7828","hoard",1,1
"7829","silver.in",1,1
"7830","unquestionable",3,3
"7831","foundation",7,7
"7832","indeed–the",1,1
"7833","steadier",1,1
"7834","drain",1,1
"7835","troubles",2,2
"7836","compelling",2,2
"7837","augur",1,1
"7838","favourably",2,2
"7839","tierney",2,1
"7840","voting",2,2
"7841","resumpion",1,1
"7842","voted",14,9
"7843","resumption",1,1
"7844","courier.grand",1,1
"7845","pigeon",1,1
"7846","midgham",1,1
"7847","club",5,2
"7848","thrice",1,1
"7849","farnham",1,1
"7850","twenty-one",3,2
"7851","unlimited",1,1
"7852","holt",2,1
"7853","crack",1,1
"7854","keans",2,1
"7855","sports",1,1
"7856","nineteen",1,1
"7857","eighteen",3,1
"7858","bagged",1,1
"7859","sixteen",2,2
"7860","fifty-two",2,2
"7861","backed",2,1
"7862","win",4,2
"7863","bird",3,1
"7864","missed",3,1
"7865","betting",1,1
"7866","onn",1,1
"7867","tie",2,2
"7868","seventeenth",1,1
"7869","kill",22,13
"7870","prize",2,2
"7871","years.letters",1,1
"7872","ultimo",3,3
"7873","gustavus",3,1
"7874","studies",1,1
"7875","oxford",3,2
"7876","largely",2,2
"7877","forget",4,4
"7878","vasa",1,1
"7879","sovereigns",1,1
"7880","potentate",1,1
"7881","generosity",2,2
"7882","magnanimity",9,9
"7883","proverbial",1,1
"7884","espouse",1,1
"7885","cousin",3,2
"7886","hesse",1,1
"7887","cassel",1,1
"7888","matrimonial",1,1
"7889","alliance",5,5
"7890","swedish",3,2
"7891","dynasty.papers",1,1
"7892","arrivedon",1,1
"7893","intelligencer",1,1
"7894","strictures",1,1
"7895","lacock's",1,1
"7896","seminole",1,1
"7897","defends",2,2
"7898","sanguinary",10,10
"7899","tenessee",1,1
"7900","cayes",2,2
"7901","m'gregor's",1,1
"7902","intelligencesome",1,1
"7903","summoned",2,2
"7904","talbot",1,1
"7905","dunwich",1,1
"7906","statess.extract",1,1
"7907","george-town",1,1
"7908","tobago",4,4
"7909","rains",2,2
"7910","inundated",1,1
"7911","frost",2,2
"7912","numbered",2,2
"7913","baffled",1,1
"7914","suspended–the",1,1
"7915","seeking",3,3
"7916","healthiest",3,3
"7917","contagious",1,1
"7918","touch",4,4
"7919","william's",1,1
"7920","her–some",1,1
"7921","fast.'a",1,1
"7922","gazettes",5,5
"7923","contradiction",2,2
"7924","mortality",6,6
"7925","peninsula",2,2
"7926","number.a",1,1
"7927","havannah",2,2
"7928","baring",2,2
"7929","purchases",3,3
"7930","esq.washington",1,1
"7931","hotel",6,3
"7932","orleans",6,3
"7933","gravesend",6,6
"7934","nottinghamshire",1,1
"7935","lancashire",1,1
"7936","wiltshire",2,1
"7937","somersetshire",1,1
"7938","heavily-taxed",1,1
"7939","rabbit",1,1
"7940","double-barrelled",1,1
"7941","knock",1,1
"7942","fetter-lane",1,1
"7943","deer",2,2
"7944","marshy",1,1
"7945","spite",1,1
"7946","remonstrances",2,2
"7947","rheumatic",1,1
"7948","fat",2,2
"7949","woodcocks",1,1
"7950","snipes",1,1
"7951","fowl",1,1
"7952","waggon",10,4
"7953","whereon",1,1
"7954","sugar-houses",1,1
"7955","molasses",1,1
"7956","offers",9,7
"7957","slovenly",1,1
"7958","lazy",4,4
"7959","managers",12,4
"7960","scenery",1,1
"7961","thames",2,2
"7962","staines",1,1
"7963","bath",1,1
"7964","shops",1,1
"7965","gambling",3,3
"7966","claret",1,1
"7967","beer",2,2
"7968","stinking",1,1
"7969","covent",2,2
"7970","dine",1,1
"7971","trouble",8,5
"7972","cents",4,4
"7973","peas",2,2
"7974","rye",2,2
"7975","seed",2,2
"7976","hill's",1,1
"7977","ploughs",2,2
"7978","trimmer",1,1
"7979","hounds",1,1
"7980","hunting",2,2
"7981","b.'s",1,1
"7982","dollar",8,5
"7983","renting",1,1
"7984","riply",1,1
"7985","profit",7,6
"7986","ripley",1,1
"7987","washing",3,3
"7988","dozen",1,1
"7989","shirts",1,1
"7990","cravats",1,1
"7991","handkerchiefs",1,1
"7992","gallon",1,1
"7993","custom-house",5,5
"7994","americaimportant",1,1
"7995","engineer",1,1
"7996","louisville",2,2
"7997","inure",1,1
"7998","hurtful",2,2
"7999","wonder",2,2
"8000","inches",4,3
"8001","scratching",1,1
"8002","hoe",2,2
"8003","shuffle",1,1
"8004","looseness",1,1
"8005","mellowness",1,1
"8006","roots",2,2
"8007","rot",2,2
"8008","modes",4,4
"8009","proven",1,1
"8010","adapted",3,3
"8011","adapting",1,1
"8012","wrights",2,2
"8013","fitter",2,2
"8014","cradle",2,2
"8015","scythe",1,1
"8016","refular",1,1
"8017","reapers",1,1
"8018","average",9,5
"8019","easier",2,2
"8020","weeds",2,2
"8021","ploughed",3,2
"8022","frosts",2,2
"8023","injure",2,2
"8024","stacked",1,1
"8025","housed",1,1
"8026","shortness",1,1
"8027","mildness",2,2
"8028","provender",1,1
"8029","needed",2,2
"8030","swine",3,2
"8031","fatten",1,1
"8032","nutriment",1,1
"8033","beast",2,2
"8034","se'ennight",2,2
"8035","eyre",3,1
"8036","recruit",1,1
"8037","captivated",1,1
"8038","embarking",2,2
"8039","fanciful",1,1
"8040","uniforms",1,1
"8041","treat",5,5
"8042","purse",1,1
"8043","contented",2,2
"8044","defrayed",1,1
"8045","d'evereaux",2,1
"8046","wexford",1,1
"8047","professes",1,1
"8048","livar",1,1
"8049","venezuela",3,2
"8050","dispatched",6,6
"8051","shewn",3,3
"8052","activity",10,9
"8053","intelligenceadvices",1,1
"8054","caffres",7,4
"8055","regarding",8,7
"8056","suppress",2,2
"8057","restored.we",1,1
"8058","ill-fated",1,1
"8059","island.a",1,1
"8060","regretted",4,3
"8061","java",2,2
"8062","surrendered",1,1
"8063","rapacity",1,1
"8064","torture",1,1
"8065","maxims",1,1
"8066","jurisprudence",2,2
"8067","popular.considerable",1,1
"8068","since.several",1,1
"8069","emigration.the",4,4
"8070","middling",1,1
"8071","sustenance",1,1
"8072","copartnerships",1,1
"8073","singly",2,2
"8074","jointly",1,1
"8075","impetus",1,1
"8076","huma",1,1
"8077","dispoed",1,1
"8078","occupation",1,1
"8079","furtherance",1,1
"8080","siutations",2,2
"8081","described",9,9
"8082","pining",0,0
"8083","workhouses",2,2
"8084","consumption",6,5
"8085","birkbeckenglish",1,1
"8086","illinoia",1,1
"8087","presuming",2,2
"8088","queries",3,2
"8089","foresee",1,1
"8090","domestics",2,1
"8091","indentures",1,1
"8092","documents",7,5
"8093","acknowledging",1,1
"8094","incurred",5,5
"8095","incumbrance",1,1
"8096","luggage",3,2
"8097","supposing",3,2
"8098","flower",2,2
"8099","lbs",1,1
"8100","query",8,1
"8101","seventh",1,1
"8102","eighth",1,1
"8103","ninth",2,2
"8104","earthquakes",2,1
"8105","bradbury",1,1
"8106","score",1,1
"8107","elenventh",1,1
"8108","precaution",1,1
"8109","diseases",3,3
"8110","twelfth",2,2
"8111","ague",6,4
"8112","sickly",2,2
"8113","confirmation",3,3
"8114","temperature",1,1
"8115","salubrity",3,3
"8116","immeasurable",1,1
"8117","seconded",15,9
"8118","inclosure",1,1
"8119","visisted",3,2
"8120","noticing",1,1
"8121","subect",1,1
"8122","conclusion",7,6
"8123","deferring",1,1
"8124","convey",7,7
"8125","propriety",3,3
"8126","unsurveyed",1,1
"8127","venomous",1,1
"8128","reptiles",1,1
"8129","insects",1,1
"8130","teazing",1,1
"8131","plagues",1,1
"8132","conquered",2,2
"8133","zero",1,1
"8134","extremes",9,9
"8135","rare",2,2
"8136","occurence",1,1
"8137","bottoms",9,9
"8138","sluggish",2,2
"8139","catfish",1,1
"8140","sturgeons",1,1
"8141","comfortable",8,7
"8142","birkbeck.directed",1,1
"8143","batson's",1,1
"8144","hopethe",1,1
"8145","explains",2,2
"8146","proposes",3,3
"8147","inquiries",3,3
"8148","exchequer",7,5
"8149","outline",4,4
"8150","prorogation.(official",1,1
"8151","circular)downing",1,1
"8152","unconnected",2,2
"8153","unprovided",2,2
"8154","capiral",1,1
"8155","burdensome",2,2
"8156","confine",6,6
"8157","bodied",5,3
"8158","selecting",5,3
"8159","eligible.in",2,2
"8160","deposit",10,4
"8161","repaid",7,3
"8162","hereinafter",3,3
"8163","famly",1,1
"8164","victualled",2,2
"8165","colony.a",2,2
"8166","one-third",7,6
"8167","outset",3,3
"8168","expenceof",1,1
"8169","cease",6,4
"8170","remainer",1,1
"8171","location.if",2,2
"8172","redundancy",3,3
"8173","unite",3,3
"8174","above-mentioned",6,3
"8175","liverty",1,1
"8176","chargeable",2,2
"8177","country.but",2,2
"8178","proposin",1,1
"8179","work.it",2,2
"8180","apply",11,10
"8181","accompany",9,9
"8182","state.the",2,2
"8183","remitted",5,5
"8184","resided",10,10
"8185","holder",4,4
"8186","exceeding",4,4
"8187","clause",13,3
"8188","reservations–that",1,1
"8189","foreited",1,1
"8190","reservations",2,2
"8191","corfu",1,1
"8192","ionian",1,1
"8193","rome",3,3
"8194","negotitate",1,1
"8195","concordat",1,1
"8196","romish",1,1
"8197","negotiation",2,2
"8198","effect.previously",1,1
"8199","deputation",5,4
"8200","parguinotes",1,1
"8201","pacha",2,2
"8202","parga",1,1
"8203","agreeably",3,3
"8204","stipulation",3,3
"8205","fills",1,1
"8206","interim",3,3
"8207","governor.advices",1,1
"8208","demerara",5,4
"8209","guiana",1,1
"8210","chronicle",5,5
"8211","rangers",2,2
"8212","smelt",1,1
"8213","diadem",1,1
"8214","allotted",2,2
"8215","support.we",1,1
"8216","idem",1,1
"8217","redman",1,1
"8218","posted",1,1
"8219","l.we",1,1
"8220","subjoin",1,1
"8221","reformer:from",1,1
"8222","famed",1,1
"8223","champion",1,1
"8224","debut",1,1
"8225","landowners",1,1
"8226","stamp",1,1
"8227","lucubrations",1,1
"8228","assertions",3,3
"8229","facts–a",1,1
"8230","wove",1,1
"8231","sophistry",2,2
"8232","beguile",1,1
"8233","superficial",1,1
"8234","reader",1,1
"8235","egregious",1,1
"8236","speciousness",1,1
"8237","dissent",3,2
"8238","reformer",1,1
"8239","intrusive",1,1
"8240","refutation",1,1
"8241","exposure",5,5
"8242","absurdities",1,1
"8243","exalting",1,1
"8244","imputations",1,1
"8245","reaped",1,1
"8246","doubtless",3,3
"8247","checked",2,2
"8248","society.the",1,1
"8249","distribution",2,2
"8250","queen's",1,1
"8251","ditto–head-quarters",4,1
"8252","christopher's",2,2
"8253","montserrat",1,1
"8254","vincent's",3,2
"8255","fusileers)–barbadoes",1,1
"8256","regiment–head-quarters",1,1
"8257","country.(official",1,1
"8258","circular.)downing-street",1,1
"8259","ahove",1,1
"8260","remainder",7,6
"8261","proposing",2,2
"8262","reservations*–that",1,1
"8263","forfeited",1,1
"8264","abandone",1,1
"8265","cultivator",1,1
"8266","colony.there",1,1
"8267","africa",14,11
"8268","algoa",5,5
"8269","catherine's",1,1
"8270","knysua",1,1
"8271","saldanha",2,2
"8272","brazils",2,2
"8273","renders",3,3
"8274","anticipation",1,1
"8275","interested",6,6
"8276","intelligencethe",2,2
"8277","received.information",1,1
"8278","country-people",1,1
"8279","returning",5,5
"8280","attacks",4,4
"8281","come.letters",1,1
"8282","convict-ships",1,1
"8283","marley",1,1
"8284","intermediate",1,1
"8285","port.extract",1,1
"8286","solemnly",1,1
"8287","drugging",1,1
"8288","calaba",1,1
"8289","collective.montreal",1,1
"8290","rouge",1,1
"8291","before-mentioned",1,1
"8292","milder",1,1
"8293","populous",4,4
"8294","plications",1,1
"8295","referred",8,7
"8296","to:–downing",1,1
"8297","sir–in",1,1
"8298","inctly",1,1
"8299","specifies",1,1
"8300","governance.with",1,1
"8301","practical",5,4
"8302","spot.the",2,2
"8303","allotting",1,1
"8304","implements",5,5
"8305","debarred",1,1
"8306","derte",1,1
"8307","purchasing",2,2
"8308","ception.the",1,1
"8309","ceed",1,1
"8310","colony.in",1,1
"8311","pecaniary",1,1
"8312","directios",1,1
"8313","ensure",2,2
"8314","intelligencefire",1,1
"8315","newfoundlandwe",1,1
"8316","calamitous",4,3
"8317","critchelly",1,1
"8318","arriv",1,1
"8319","carbonear",1,1
"8320","uninhabited",2,2
"8321","inflammable",1,1
"8322","roofs",2,2
"8323","milies",1,1
"8324","consumed",3,3
"8325","warehouses.we",1,1
"8326","conder",1,1
"8327","tracy's",1,1
"8328","baine",1,1
"8329","co.'s.cape",1,1
"8330","hopeat",1,1
"8331","tilities",0,0
"8332","anew",1,1
"8333","considerable.cape",1,1
"8334","borders",3,3
"8335","graham's",3,2
"8336","fiel",1,1
"8337","boors",3,2
"8338","inrol",1,1
"8339","enemy.cape",1,1
"8340","wilshire",1,1
"8341","pursue",5,3
"8342","appointed.jamaica",1,1
"8343","sad",2,2
"8344","fugitive",1,1
"8345","blas",1,1
"8346","porto",3,2
"8347","bello",2,1
"8348","leap",2,2
"8349","promulgated",2,2
"8350","betrayed",1,1
"8351","retake",1,1
"8352","rio",6,3
"8353","janeiro",5,3
"8354","litna",1,1
"8355","andromache",2,2
"8356","shirreff",1,1
"8357","cochrane's",1,1
"8358","seas",6,5
"8359","resorted",3,3
"8360","undue",2,2
"8361","blackwood's",1,1
"8362","magazine.)the",1,1
"8363","thin",3,3
"8364","surplus",5,5
"8365","birth",4,3
"8366","divert",2,2
"8367","convince",4,4
"8368","forefathers.the",1,1
"8369","question.the",1,1
"8370","agreedable",1,1
"8371","intensely",1,1
"8372","rainy",1,1
"8373","fires",6,4
"8374","indolent",2,1
"8375","unheathliness",1,1
"8376","artificial",2,2
"8377","tanks",1,1
"8378","reservoirs",2,2
"8379","irrigation",1,1
"8380","wells",3,2
"8381","vegetation",1,1
"8382","ensues",1,1
"8383","digging",1,1
"8384","swollen",1,1
"8385","torrents",2,2
"8386","eels",1,1
"8387","turtle",2,2
"8388","seas.there",1,1
"8389","taxus",1,1
"8390","elongatus",1,1
"8391","diameter",4,3
"8392","iron-wood",1,1
"8393","straight",1,1
"8394","hassayni",1,1
"8395","tree...the",1,1
"8396","constantia",1,1
"8397","wine",7,4
"8398","wines",3,1
"8399","fairly",4,3
"8400","augured",1,1
"8401","heretofore",4,3
"8402","mattered",1,1
"8403","sour",1,1
"8404","decayed",2,2
"8405","unripe",1,1
"8406","stalks",3,2
"8407","leaves",6,5
"8408","promiscuously",1,1
"8409","wine-press",1,1
"8410","seasoning",1,1
"8411","brimstone",1,1
"8412","contributed",3,3
"8413","deteriorate",1,1
"8414","madeira",5,2
"8415","trifling",6,5
"8416","affixed",1,1
"8417","introducing",1,1
"8418","home-made",1,1
"8419","equitable",1,1
"8420","decidely",2,2
"8421","unalterably",1,1
"8422","bides",1,1
"8423","whale",16,7
"8424","bone",1,1
"8425","soap",1,1
"8426","candles",1,1
"8427","aloes",1,1
"8428","prosperit",1,1
"8429","despotism",1,1
"8430","contituted",1,1
"8431","purest",1,1
"8432","needs",3,3
"8433","annuls",1,1
"8434","inserts",1,1
"8435","adviser",1,1
"8436","extend",7,7
"8437","rescinded",1,1
"8438","obscured",1,1
"8439","edicts",1,1
"8440","laterly",1,1
"8441","foribus",1,1
"8442","clausis",1,1
"8443","presides",1,1
"8444","checks",2,2
"8445","governor.the",1,1
"8446","groan",2,2
"8447","painfully",1,1
"8448","parliamentary",6,5
"8449","grant.noting",1,1
"8450","bedd",1,1
"8451","vansittuart's",1,1
"8452","downing",2,2
"8453","reaching",4,4
"8454","kindred",2,2
"8455","allay",1,1
"8456","sorrowing",1,1
"8457","recollection",2,2
"8458","pastor",5,3
"8459","veneration",1,1
"8460","attach",1,1
"8461","him.it",2,2
"8462","outselves",1,1
"8463","sober",3,2
"8464","steady",4,4
"8465","vicious",1,1
"8466","safer",1,1
"8467","reward.during",1,1
"8468","cook",3,3
"8469","beremember",1,1
"8470","manufactory",1,1
"8471","lest",1,1
"8472","cheaply",1,1
"8473","clad",1,1
"8474","soft",2,2
"8475","warmth",3,3
"8476","colder",2,2
"8477","mattress",1,1
"8478","coverlet.there",1,1
"8479","intimately",1,1
"8480","credence",1,1
"8481","introduce",7,6
"8482","stubbornly",1,1
"8483","luxurious",1,1
"8484","unparalleled",2,2
"8485","shown",3,3
"8486","barbarities",3,3
"8487","encouraged",3,3
"8488","perpetration",1,1
"8489","inhumanities",1,1
"8490","thorough",9,9
"8491","attainments",1,1
"8492","thewe",1,1
"8493","hints",2,2
"8494","furnishing",3,3
"8495","chanceller",1,1
"8496","americe",1,1
"8497","discouraging",3,3
"8498","components",1,1
"8499","concentrate",1,1
"8500","circular.)the",1,1
"8501","lists",3,2
"8502","batburst",1,1
"8503","accepts",1,1
"8504","mde",1,1
"8505","conformity",1,1
"8506","government.i",1,1
"8507","absolutely",3,3
"8508","correctly",3,3
"8509","erroneous",5,5
"8510","made.i",1,1
"8511","servant(signed)henry",1,1
"8512","goulburn.p.s",1,1
"8513","pensioners",3,3
"8514","specifying",3,2
"8515","designation",2,2
"8516","allowances",1,1
"8517","colony.these",1,1
"8518","guidance",4,4
"8519","receipt",2,2
"8520","allowances.in",1,1
"8521","cubic",1,1
"8522","family.the",1,1
"8523","follows:return",1,1
"8524","payable",6,5
"8525","intelligenceletters",1,1
"8526","letlets",1,1
"8527","unhealthy.the",1,1
"8528","skeletons",1,1
"8529","others.a",1,1
"8530","counter",2,2
"8531","complain",2,2
"8532","licentiousness",2,2
"8533","island.(from",1,1
"8534","panama",1,1
"8535","cochran",1,1
"8536","callao",2,2
"8537","guayaquil",1,1
"8538","chili",3,3
"8539","forthnight",1,1
"8540","carthagena",4,2
"8541","bolivar",4,2
"8542","murillo's",1,1
"8543","advances",1,1
"8544","aide-de",1,1
"8545","venezuelian",1,1
"8546","honda",1,1
"8547","samana",1,1
"8548","captain-general",2,2
"8549","ramirez",1,1
"8550","bolivar's",1,1
"8551","mempaz[?].there",1,1
"8552","settlers.a",1,1
"8553","shock",6,5
"8554","second[?].madras",1,1
"8555","gratifying",7,7
"8556","asserghur",1,1
"8557","wait",3,3
